Codi_Districte,Preu_mitja_habitatge,Nom_Districte,Nom_Barri,Valor,Codi_Barri,_id,Any
6,Total. Euros/m2 construït,Gràcia,Vallcarca i els Penitents,3597.2,28,247,2017
6,Total. Euros/m2 construït,Gràcia,el Coll,2741.6,29,248,2017
6,Total. Euros/m2 construït,Gràcia,la Salut,3853.7,30,249,2017
6,Total. Euros/m2 construït,Gràcia,la Vila de Gràcia,4570.6,31,250,2017
6,Total. Euros/m2 construït,Gràcia,el Camp d'en Grassot i Gràcia Nova,4005,32,251,2017
7,Total. Euros/m2 construït,Horta-Guinardó,el Baix Guinardó,3552,33,252,2017
7,Total. Euros/m2 construït,Horta-Guinardó,Can Baró,2423.7,34,253,2017
7,Total. Euros/m2 construït,Horta-Guinardó,el Guinardó,2742.6,35,254,2017
7,Total. Euros/m2 construït,Horta-Guinardó,la Font d'en Fargues,3397.6,36,255,2017
7,Total. Euros/m2 construït,Horta-Guinardó,el Carmel,2147.3,37,256,2017
7,Total. Euros/m2 construït,Horta-Guinardó,la Teixonera,2217.4,38,257,2017
7,Total. Euros/m2 construït,Horta-Guinardó,Sant Genís dels Agudells,2081,39,258,2017
7,Total. Euros/m2 construït,Horta-Guinardó,Montbau,2198.8,40,259,2017
7,Total. Euros/m2 construït,Horta-Guinardó,la Vall d'Hebron,3615.3,41,260,2017
7,Total. Euros/m2 construït,Horta-Guinardó,la Clota,NA,42,261,2017
7,Total. Euros/m2 construït,Horta-Guinardó,Horta,2602.4,43,262,2017
8,Total. Euros/m2 construït,Nou Barris,Vilapicina i la Torre Llobeta,2585.4,44,263,2017
8,Total. Euros/m2 construït,Nou Barris,Porta,2478.1,45,264,2017
8,Total. Euros/m2 construït,Nou Barris,el Turó de la Peira,1756.9,46,265,2017
8,Total. Euros/m2 construït,Nou Barris,Can Peguera,1713.6,47,266,2017
8,Total. Euros/m2 construït,Nou Barris,la Guineueta,2261.7,48,267,2017
8,Total. Euros/m2 construït,Nou Barris,Canyelles,1586.9,49,268,2017
8,Total. Euros/m2 construït,Nou Barris,les Roquetes,1837,50,269,2017
8,Total. Euros/m2 construït,Nou Barris,Verdun,2023.6,51,270,2017
8,Total. Euros/m2 construït,Nou Barris,la Prosperitat,2020.1,52,271,2017
8,Total. Euros/m2 construït,Nou Barris,la Trinitat Nova,1381.7,53,272,2017
8,Total. Euros/m2 construït,Nou Barris,Torre Baró,1380.5,54,273,2017
8,Total. Euros/m2 construït,Nou Barris,Ciutat Meridiana,1216.1,55,274,2017
8,Total. Euros/m2 construït,Nou Barris,Vallbona,2243.7,56,275,2017
9,Total. Euros/m2 construït,Sant Andreu,la Trinitat Vella,2057.9,57,276,2017
9,Total. Euros/m2 construït,Sant Andreu,Baró de Viver,2763,58,277,2017
9,Total. Euros/m2 construït,Sant Andreu,el Bon Pastor,1893.7,59,278,2017
9,Total. Euros/m2 construït,Sant Andreu,Sant Andreu,2781.2,60,279,2017
9,Total. Euros/m2 construït,Sant Andreu,la Sagrera,3303.8,61,280,2017
9,Total. Euros/m2 construït,Sant Andreu,el Congrés i els Indians,2709.5,62,281,2017
9,Total. Euros/m2 construït,Sant Andreu,Navas,3947.2,63,282,2017
10,Total. Euros/m2 construït,Sant Martí,el Camp de l'Arpa del Clot,3988.8,64,283,2017
10,Total. Euros/m2 construït,Sant Martí,el Clot,3605.9,65,284,2017
10,Total. Euros/m2 construït,Sant Martí,el Parc i la Llacuna del Poblenou,3847.4,66,285,2017
10,Total. Euros/m2 construït,Sant Martí,la Vila Olímpica del Poblenou,4315.3,67,286,2017
10,Total. Euros/m2 construït,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,6951.3,69,288,2017
10,Total. Euros/m2 construït,Sant Martí,el Besòs i el Maresme,2910.9,70,289,2017
10,Total. Euros/m2 construït,Sant Martí,Provençals del Poblenou,4555.3,71,290,2017
10,Total. Euros/m2 construït,Sant Martí,Sant Martí de Provençals,3325.9,72,291,2017
10,Total. Euros/m2 construït,Sant Martí,la Verneda i la Pau,2065.7,73,292,2017
1,Nou. Euros/m2 construït,Ciutat Vella,el Raval,3633.1,1,293,2017
1,Nou. Euros/m2 construït,Ciutat Vella,el Barri Gòtic,5397.4,2,294,2017
1,Nou. Euros/m2 construït,Ciutat Vella,la Barceloneta,3967.5,3,295,2017
1,Nou. Euros/m2 construït,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",5973.2,4,296,2017
2,Nou. Euros/m2 construït,Eixample,el Fort Pienc,4787.3,5,297,2017
2,Nou. Euros/m2 construït,Eixample,la Sagrada Família,NA,6,298,2017
2,Nou. Euros/m2 construït,Eixample,la Dreta de l'Eixample,2878.1,7,299,2017
2,Nou. Euros/m2 construït,Eixample,l'Antiga Esquerra de l'Eixample,4704.4,8,300,2017
2,Nou. Euros/m2 construït,Eixample,la Nova Esquerra de l'Eixample,6053.1,9,301,2017
2,Nou. Euros/m2 construït,Eixample,Sant Antoni,NA,10,302,2017
3,Nou. Euros/m2 construït,Sants-Montjuïc,el Poble Sec,4105.7,11,303,2017
3,Nou. Euros/m2 construït,Sants-Montjuïc,la Marina del Prat Vermell,NA,12,304,2017
3,Nou. Euros/m2 construït,Sants-Montjuïc,la Marina de Port,NA,13,305,2017
3,Nou. Euros/m2 construït,Sants-Montjuïc,la Font de la Guatlla,NA,14,306,2017
3,Nou. Euros/m2 construït,Sants-Montjuïc,Hostafrancs,NA,15,307,2017
3,Nou. Euros/m2 construït,Sants-Montjuïc,la Bordeta,3962.8,16,308,2017
3,Nou. Euros/m2 construït,Sants-Montjuïc,Sants - Badal,4425.1,17,309,2017
3,Nou. Euros/m2 construït,Sants-Montjuïc,Sants,3635.4,18,310,2017
4,Nou. Euros/m2 construït,Les Corts,les Corts,7252.9,19,311,2017
4,Nou. Euros/m2 construït,Les Corts,la Maternitat i Sant Ramon,NA,20,312,2017
4,Nou. Euros/m2 construït,Les Corts,Pedralbes,NA,21,313,2017
5,Nou. Euros/m2 construït,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",NA,22,314,2017
